ACALD,ASAD
ACALD,ASPKi
ACALD,HSK
ACALD,THRS
ADK1,DGK1
ADK1,NTPTP1
ADK1,r0456
ADK2,PPA2
ADOCBIK,ADOCBIK2
AGPAT180,ACOAAGPAT180
ALCD19,GLYCt
ASPTA,PHEt2r
CITRH,CBPS
CTPS1,CTPS2
CYTD,CYTDt2r
DHORD5,DHORD2
ENO,ACCOACL
ENO,BTNCLi
FE2DH,FE3abc
FE2abc,FE3abc
FRD2,DHORD2
FTHFL,GLYCL
G3PD1,G3PD2
GALU,GALT
GK1,GK2
GLUDy,GLNS
GLUOX,GLNS
GMPS2,GNNUC
GMPS2,GUAPRT
GMPS2,NTD10
GMPS2,RBK
GMPS2,r1384
IPDPS,IPDPS2
KARA1,ALACI
KARA1,KARA3
Kt3r,ZNabc
LEUTA,3MOBS
LEUTA,IPMDr
LEUTA,IPPMIa
LEUTA,IPPMIb
LEUTA,OMCDC
LEUt2r,3MOBS
LEUt2r,IPMDr
LEUt2r,IPPMIa
LEUt2r,IPPMIb
LEUt2r,OMCDC
L_AROND,L_ARONR
MALCOAPYRCT,ACCOACL
MALCOAPYRCT,BTNCLi
METt2r,METabc
MGt5,MG2abc
MTHFC,GLYCL
NADK,NADK2
NADS1,NADS2
NDPK5,RNTR2
OAASr,AKGS
OCBT,CBPS
PFL,OBTFL
PFL,PPAKr
PFL,PPAt2
PFL,PTA2
PGM,ACCOACL
PGM,BTNCLi
PGMT,GALK
PLPS,PYDXK
PLPS,PYDXabc
RNDR2,RNTR2
RNTR1,RNDR1
RNTR3,NDPK3
RNTR3,NDPK7
RNTR3,RNDR3
SUCCt2r,AKGS
THRAr,ASAD
THRAr,ASPKi
THRAr,HSK
THRAr,THRS
THRD_L,ASAD
THRD_L,ASPKi
THRD_L,CYSDS
THRD_L,CYSTGL
THRD_L,CYSTS
URIDK3,DUTPDP
ZN2t4,ZNabc
r0082,AKGS
r0422,AKGS
r0792,METFR
ACtr,ACKr
ADK2,ADK1
CYSt2r,AMPTASECG
DMPPS2r,DMPPS
FE2abc,FE2DH
GLUOX,GLUDy
LEUt2r,LEUTA
MALCOAPYRCT,ENO
MTHFC,FTHFL
NDPK5,ADK1
PGM,MALCOAPYRCT
PPCKr,ENO
PPCKr,PGM
PTAr,ACtr
SUCOAS,OAASr
SUCOAS,SUCCt2r
TKT1,TALA
UDPG4E,PGMT
ZN2t4,Kt3r
r0082,SUCOAS
r0422,SUCOAS
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
