g.239975.CDS.1043,g.239975.CDS.1971
g.239975.CDS.281,g.239975.CDS.1219
g.239975.CDS.1155,g.239975.CDS.1231
g.239975.CDS.2389,g.239975.CDS.1219
g.239975.CDS.219,g.239975.CDS.2364
g.239975.CDS.1675,g.239975.CDS.1678
g.239975.CDS.1156,g.239975.CDS.643
g.239975.CDS.1156,g.239975.CDS.782
g.239975.CDS.350,g.239975.CDS.357
g.239975.CDS.920,g.239975.CDS.878
g.239975.CDS.1307,g.239975.CDS.1219
g.239975.CDS.2381,g.239975.CDS.1039
g.239975.CDS.1410,g.239975.CDS.437
g.239975.CDS.1292,g.239975.CDS.2180
g.239975.CDS.302,g.239975.CDS.274
g.239975.CDS.2564,g.239975.CDS.1494
g.239975.CDS.1219,g.239975.CDS.1852
g.239975.CDS.811,g.239975.CDS.92
g.239975.CDS.811,g.239975.CDS.274
g.239975.CDS.1055,g.239975.CDS.447
g.239975.CDS.2030,g.239975.CDS.322
g.239975.CDS.2309,g.239975.CDS.1751
g.239975.CDS.1326,g.239975.CDS.2206
g.239975.CDS.1516,g.239975.CDS.974
g.239975.CDS.1522,g.239975.CDS.974
g.239975.CDS.2082,g.239975.CDS.614
g.239975.CDS.1107,g.239975.CDS.2043
g.239975.CDS.1114,g.239975.CDS.2598
g.239975.CDS.1139,g.239975.CDS.8
g.239975.CDS.1273,g.239975.CDS.2109
g.239975.CDS.1546,g.239975.CDS.455
g.239975.CDS.1421,g.239975.CDS.637
